year_quarter,employee_index,employee_annual_change,employee_quarterly_change,pensioner_index,pensioner_annual_change,pensioner_quarterly_change,self_funded_index,self_funded_annual_change,self_funded_quarterly_change
2023-Q1,142.5,9.6,2,145.2,7.2,2.2,144.8,7.1,1.3
2023-Q2,144.3,9.6,1.5,146.7,6.7,1.1,145.9,6.3,0.8
2023-Q3,147.2,9,2,147.3,5.3,0.5,148.1,5.7,1.4
2023-Q4,148.8,6.9,1.1,148.8,4.4,1,148.8,4,0.5
2024-Q1,151.3,6.5,1.7,150.8,3.9,1.3,149.7,3.4,0.7
2024-Q2,153.2,6.2,1.3,152.6,4.1,1.2,151.5,3.8,1.2
2024-Q3,154.1,4.7,0.6,153.1,3.9,0.3,151.9,2.8,0.3
2024-Q4,154.7,4,0.4,152.8,2.8,-0.1,152.4,2.5,0.3
2025-Q1,156.4,3.4,1.1,155.2,3.2,1.6,153.3,2.4,0.6
2025-Q2,157,2.6,0.4,156.7,2.9,1,154.2,1.7,0.6
